"Member","Name","Image","Staked (ROAR)","Voting power"
"terra1aysya94w8fsw4k2hqj7j3dglsqlrpxa3v4zygr","","","5000000","0.002255143978953996"
"terra15rku203wqn9ru4p54k5p78j6tk6tmqkjwwpae4","","","4938485.67551","0.002227399247255387"
"terra1yx60pl292synwydj6cf6p3hrf57npz6pwhd72x","","","4766941.110516","0.002150027708681687"
"terra124znjuweqm26jkg4z35kx8kjgcfa30gawm09uz","","","4692423.061125","0.002116417922600185"
"terra1nlzaeaa2k6eyvpjsg95w2343hhrczl65qvwpnf","","","4632321.660063","0.002089310460053851"
"terra1jh876grj729q8tuxadefudklv66sq079myycyh","","","4328369.629605","0.001952219341778211"
"terra1w67l00u5585z2fz6s5euwls8a2zm5ptxznl2du","","","4042639.682764","0.001823346907933145"
"terra1jwn7pfaxe005lfgh4mc6xahc8s86xp38ht4zum","","","2749000","0.001239878159628907"
"terra1kmzxj2sx90vqfdjl0fhn2m2jzudh5h74r9hfzp","","","2663477.72348","0.001201305150236804"
"terra1zaq3ghh7fmggw8sjsfscmhha7rnrq5cndsmwpp","","","2658541.91974","0.001199078960619692"
"terra18lzelvk79m8n9sk5d6uuxts5xqe3xs70u8e6v5","","","2645590.464133","0.001193237481193529"
"terra14698rl89hk8h2k23u99dgflw4tsxha8prm4stg","","","2608745.298667","0.001176619250582686"
"terra1j39k0ahnmr6c0e9fxyanhqwq4sw83uuepjjhvl","","","2586868.732711","0.001166752289383513"
"terra1xcnxtqngujxgpnnjt2ms339sq3algtmelgd5ku","","","2500000","0.001127571989476998"
"terra128qmeave7hlnjj5uxd46jce65wrumkhf0j8ew9","","","2499418.925355","0.001127309908079599"
"terra1apcvfccryplzwgh5763l2mnkrsyap0muqmhxwy","","","2083115.651685","0.000939545143872451"
"terra1k7wrmppe2dl5jerlpu3nlucqgudk8s3ngx48py","","","2034606.085373","0.000917665932594416"
"terra1u9fhd3tqmlyhca5ea2cjn8ght6q7nn8f2g7nsq","","","2019466.78313","0.000910837671334643"
"terra1k9xzzd092760hnqwyytkesj7c8498r63gt2p2x","","","1667630.928768","0.000752149569625723"
"terra1wq35u0ndsuwtt6dh9f7n97fh4ykpcgy2k62umk","","","1544116.265351","0.000696440899722248"
"terra1s2r66jvjxczsc7flfv5j5x7qrw5w3us0pmesdv","","","1332552.966872","0.000601019759975735"
"terra186twgvqlv4wgha37gs922pst7mf9mlt4958hmu","","","1260486.536266","0.00056851572456257"
"terra1zfge7des3j03sj4fekxu8r37lpkmces2457r6v","","","1235278.039215","0.000557145966493961"
"terra168zqjwh3wwe8ktg64uz4yzepn3d9pct6kgqdqm","","","1132835.334827","0.000510941356896289"
"terra14vwq8zpr7sh9ajahr0gyhj6at6ha6rmdpecysm","","","1102715.626295","0.000497356501027531"
"terra130hnn9qh9naezd8q9p5cext6qse35ktxpqe07d","","","1000000","0.000451028795790799"
"terra1f0z9sm9dz37h9z69yl5smcp6sd5jphv6zynre6","","","1000000","0.000451028795790799"
"terra1fsxuvu22sd4y28zvdrxnf0jekmcfutn8uw5kpv","","","1000000","0.000451028795790799"
"terra1jv2qj2qx0qndrs0qgxq8thq45z0w2uc733pwcq","","","1000000","0.000451028795790799"
"terra1mqmqc7vmjpslgeju4m0pwwt94gutllnur775kv","","","995098.813276","0.000448818219444728"
"terra1g692jde5e7nqpml4rmxgge22m3qvft8ufctpes","","","975956.961334","0.000440184693014122"
"terra1jx9tsunsg8vy0p5cavl6n6rkul4cv7x8e8qye4","","","907495.880564","0.000409306774195892"
"terra1kkvmg6l545fjl67f44hx9ytyjurx4s2r9z8att","","","841944.507009","0.000379741217118947"
"terra109s6jzmrr5mw8edsfkkvlq8yxm5p34emxs6v46","","","766532","0.000345728004895113"
"terra1hc8s7rqzguks55q4zw4u5lz9wge4punuqc4uxd","","","695627.504464","0.000313748035657357"
